,title,genre,overview,cast,director,lang,comp
59,A Million Little Pieces,Drama,A drug dependent young man faces his past and his inner demons after he is interned in an institution for addicted.,Aaron Taylor-Johnson Billy Bob Thornton Odessa Young Giovanni Ribisi,Sam Taylor-Johnson,en,unknown
60,We Have Always Lived in the Castle,"Drama, Mystery, Thriller","Merricat, Constance and their Uncle Julian live in isolation after experiencing a family tragedy six years earlier. When cousin Charles arrives to steal the family fortune, he also threatens a dark secret they've been hiding.",Taissa Farmiga Alexandra Daddario Crispin Glover Sebastian Stan,Stacie Passon,en,unknown
61,Then Came You,"Adventure, Comedy, Drama",A hypochondriac working as an airport baggage handler is forced to confront his fears when a British teenager with a terminal illness enlists him to help her carry out her eccentric bucket list.,Asa Butterfield Maisie Williams Nina Dobrev Ken Jeong,Peter Hutchings,en,unknown
62,The Miseducation of Cameron Post,Drama,"In 1993, a teenage girl is forced into a gay conversion therapy center by her conservative guardians.",Chloë Grace Moretz Steven Hauck Quinn Shephard Kerry Butler,Desiree Akhavan,en,unknown
63,American Animals,"Biography, Crime, Drama",Four young men mistake their lives for a movie and attempt one of the most audacious heists in U.S. history.,Spencer Reinhard Warren Lipka Eric Borsuk Chas Allen,Bart Layton,en,unknown
64,Mary Magdalene,"Biography, Drama",Twelve men heard and spread the message of Jesus. Only one woman understood it.,Rooney Mara Joaquin Phoenix Chiwetel Ejiofor Tahar Rahim,Garth Davis,en,unknown
65,Down a Dark Hall,"Drama, Fantasy, Horror","A troubled teen named Kit Gordy is forced to join the exclusive Blackwood Boarding School, just to find herself trapped by dark forces around its mysterious headmistress, Madame Duret.",AnnaSophia Robb Uma Thurman Isabelle Fuhrman Victoria Moroles,Rodrigo Cortés,en,unknown
66,Banana Split,Comedy,"Over the course of a summer, two teenage girls develop the perfect kindred spirit friendship, with one big problem: one of them is dating the other's ex.",Hannah Marks Liana Liberato Dylan Sprouse Luke Spencer Roberts,Benjamin Kasulke,en,unknown
67,The Darkest Minds,"Action, Adventure, Drama","Imprisoned by an adult world that now fears everyone under 18, a group of teens form a resistance group to fight back and reclaim control of their future.",Amandla Stenberg Mandy Moore Bradley Whitford Harris Dickinson,Jennifer Yuh Nelson,en,unknown
68,Charlie Says,"Biography, Crime, Drama",The tragic tale of an all-American girl who was transformed into a cold-blooded killer in the summer of 1969.,Hannah Murray Matt Smith Sosie Bacon Marianne Rendón,Mary Harron,en,unknown
69,The Tale,"Drama, Mystery, Thriller",A woman filming a documentary on childhood rape victims starts to question the nature of her childhood relationship with her riding instructor and running coach.,Laura Dern Jason Ritter Common Elizabeth Debicki,Jennifer Fox,en,unknown
70,Second Act,"Comedy, Drama, Romance",A big box store worker reinvents her life and her life-story and shows Madison Avenue what street smarts can do.,Jennifer Lopez Vanessa Hudgens Leah Remini Treat Williams,Peter Segal,en,unknown
71,The Little Mermaid,"Adventure, Drama, Fantasy",A young reporter and his niece discover a beautiful and enchanting creature they believe to be the real little mermaid.,Chris Bouchard William Moseley Poppy Drayton Loreto Peralta Armando Gutierrez,Blake Harris,en,unknown
72,Vita & Virginia,"Biography, Drama, Romance",It's the fascinating true story about the love affair between socialite and popular author Vita Sackville-West and literary icon Virginia Woolf.,Gemma Arterton Elizabeth Debicki Isabella Rossellini Rupert Penry-Jones,Chanya Button,en,unknown
73,Summer '03,"Comedy, Drama, Romance",A 16-year-old girl and her extended family are left reeling after her calculating grandmother unveils an array of secrets on her deathbed.,Joey King Paul Scheer Andrea Savage Jack Kilmer,Becca Gleason,en,unknown
74,Breaking In,"Action, Crime, Drama",A woman fights to protect her family during a home invasion.,Gabrielle Union Billy Burke Richard Cabral Ajiona Alexus,James McTeigue,en,unknown
75,Monster Party,"Comedy, Horror, Thriller",Three young thieves infiltrate a Malibu dinner party.,Sam Strike Virginia Gardner Brandon Micheal Hall Kian Lawley,Chris von Hoffmann,en,unknown
76,Lizzie,"Biography, Crime, Drama",A psychological thriller based on the infamous 1892 murders of Lizzie Andrew Borden's family.,Chloë Sevigny Kristen Stewart Jeff Perry Fiona Shaw,Craig William Macneill,en,unknown
77,Spinning Man,"Drama, Mystery, Thriller","A happily married professor, known for having many affairs with students, becomes the prime suspect when a young woman has gone missing.",Guy Pearce Pierce Brosnan Minnie Driver Alexandra Shipp,Simon Kaijser,en,unknown
78,Every Day,"Drama, Fantasy, Romance",A shy teenager falls for a spirit who wakes up in the body of a different person every morning.,Angourie Rice Justice Smith Debby Ryan Jeni Ross,Michael Sucsy,en,unknown
79,Sierra Burgess Is a Loser,"Comedy, Drama, Romance",A case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.,Shannon Purser Kristine Froseth RJ Cyler Noah Centineo,Ian Samuels,en,unknown
80,I Think We're Alone Now,"Drama, Mystery, Sci-Fi",The apocalypse proves a blessing in disguise for one lucky recluse -- until a second survivor arrives with the threat of companionship.,Peter Dinklage Elle Fanning Charlotte Gainsbourg Paul Giamatti,Reed Morano,en,unknown
81,The Neighbor,"Romance, Thriller",A middle-aged man in a stagnant marriage finds his life upended when an attractive young woman and her seemingly abusive husband move in next door.,William Fichtner Jessica McNamee Jean Louisa Kelly Michael Rosenbaum,Aaron Harvey,en,unknown
82,I Still See You,"Fantasy, Horror, Sci-Fi",Set ten years after an apocalyptic event that killed millions and left the world inhabited by ghosts.,Bella Thorne Richard Harmon Dermot Mulroney Amy Price-Francis,Scott Speer,en,unknown
83,Support the Girls,"Comedy, Drama","The general manager at a highway-side ''sports bar with curves"" has her incurable optimism and faith, in her girls, her customers, and herself, tested over the course of a long, strange day.",Regina Hall Haley Lu Richardson Dylan Gelula Zoe Graham,Andrew Bujalski,en,unknown
84,Hearts Beat Loud,"Comedy, Drama, Music",A father and daughter form an unlikely songwriting duo in the summer before she leaves for college.,Nick Offerman Kiersey Clemons Blythe Danner Toni Collette,Brett Haley,en,unknown
85,Dude,"Comedy, Drama",A group of teenage girlfriends deal with their impending graduation from high school.,Lucy Hale Kathryn Prescott Alexandra Shipp Awkwafina,Olivia Milch,en,unknown
86,Where Hands Touch,"Drama, Romance, War",A rites of passage story of a bi-racial teen struggling for survival in Nazi Germany.,Abbie Cornish George MacKay Christopher Eccleston Amandla Stenberg,Amma Asante,en,unknown
87,Teen Spirit,"Drama, Music","Violet is a shy teenager who dreams of escaping her small town and pursuing her passion to sing. With the help of an unlikely mentor, she enters a local singing competition that will test her integrity, talent and ambition. Driven by a pop-fueled soundtrack, Teen Spirit is a visceral and stylish spin on the Cinderella story.",Elle Fanning Agnieszka Grochowska Archie Madekwe Zlatko Buric,Max Minghella,en,unknown
88,The Kindergarten Teacher,Drama,A kindergarten teacher in New York becomes obsessed with one of her students whom she believes is a child prodigy.,Maggie Gyllenhaal Gael García Bernal Ato Blankson-Wood Libya Pugh,Sara Colangelo,en,unknown
89,The Honor List,Drama,A story of four friends and a bucket list.,Meghan Rienks Sasha Pieterse Karrueche Tran Arden Cho,Elissa Down,en,unknown
90,Back Roads,"Crime, Drama, Thriller","In 1993, Harley's dad is shot dead and his mom goes to prison. He has to earn money and look after his 3 kid sisters. No college. Over 2 years, family secrets are slowly revealed. Will a good therapist be enough?",Jennifer Morrison Juliette Lewis Nicola Peltz Robert Patrick,Alex Pettyfer,en,unknown
91,Office Uprising,"Action, Comedy, Horror",An employee at a weapons factory discovers that an energy drink turns his co-workers into zombies,Brenton Thwaites Jane Levy Karan Soni Zachary Levi,Lin Oeding,en,unknown
92,Jonathan,"Drama, Sci-Fi","Jonathan leaves the office every day at noon. When he gets home, he goes to sleep. Every morning he wakes up and there is a breakfast prepared for him along with a video telling him about the second part of his day.",Ansel Elgort Suki Waterhouse Patricia Clarkson Matt Bomer,Bill Oliver,en,unknown
93,Proud Mary,"Action, Crime, Drama","Mary (Taraji P. Henson) is a hit woman working for an organized crime family in Boston, whose life is completely turned around when she meets a young boy whose path she crosses when a professional hit goes bad.",Taraji P. Henson Billy Brown Jahi Di'Allo Winston Neal McDonough,Babak Najafi,en,unknown
94,The Strange Ones,"Drama, Thriller","Mysterious events surround two travelers as they make their way across a remote American landscape. On the surface all seems normal, but what appears to be a simple vacation soon gives way to a dark and complex web of secrets.",Lauren Wolkstein Alex Pettyfer James Freedson-Jackson Emily Althaus Gene Jones,Christopher Radcliff,en,unknown
95,Jeremiah Terminator LeRoy,"Biography, Drama","A young woman named Savannah Knoop spends six years pretending to be the celebrated author JT LeRoy, the made-up literary persona of her sister-in-law.",Kristen Stewart Laura Dern Jim Sturgess Diane Kruger,Justin Kelly,en,unknown
96,Cruise,"Drama, Romance","Set in the 1980s, a young Italian-American from the ""wrong side of the tracks"" falls for a Jewish girl from Long Island.",Spencer Boldman Emily Ratajkowski Lucas Salvagno Noah Robbins,Robert Siegel,en,unknown
97,Ride,"Action, Thriller",A cautionary tale aimed at a technology-obsessed society.,Bella Thorne Jessie T. Usher Will Brill Byron L. Hopkins,Jeremy Ungar,en,unknown
98,The Pretenders,Drama,"A love triangle involving a photographer, a director and an actress.",Juno Temple James Franco Dennis Quaid Brian Cox,James Franco,en,unknown
99,The New Romantic,"Comedy, Drama, Romance","Frustrated with the lack of chivalrous guys her own age, a college senior gives up on dating for love to date an older man in exchange for gifts instead.",Jessica Barden Hayley Law Brett Dier Camila Mendes,Carly Stone,en,unknown
