title,overview,genre_list,crew_list,cast_list,original_language,comp_list,comb
Kong: Skull Island,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",Action Adventure Fantasy ,Jordan Vogt-Roberts,Tom Hiddleston Samuel L. Jackson Brie Larson John C. Reilly,en,unknown,Action Adventure Fantasy Tom Hiddleston Samuel L. Jackson Brie Larson John C. ReillyJordan Vogt-Robertsen
The Fate of the Furious,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",Action Adventure Crime ,F. Gary Gray,Vin Diesel Jason Statham Dwayne Johnson Michelle Rodriguez,en,unknown,Action Adventure Crime Vin Diesel Jason Statham Dwayne Johnson Michelle RodriguezF. Gary Grayen
The Mummy,"An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",Action Adventure Fantasy ,Alex Kurtzman,Tom Cruise Sofia Boutella Annabelle Wallis Russell Crowe,en,unknown,Action Adventure Fantasy Tom Cruise Sofia Boutella Annabelle Wallis Russell CroweAlex Kurtzmanen
Transformers: The Last Knight,"A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",Action Adventure Science Fiction ,Michael Bay,Mark Wahlberg Anthony Hopkins Josh Duhamel Laura Haddock,en,unknown,Action Adventure Science Fiction Mark Wahlberg Anthony Hopkins Josh Duhamel Laura HaddockMichael Bayen
The Dark Tower,A boy haunted by visions of a dark tower from a parallel reality teams up with the tower's disillusioned guardian to stop an evil warlock known as the Man in Black who plans to use the boy to destroy the tower and open the gates of Hell.,Action Adventure Fantasy ,Nikolaj Arcel,Idris Elba Matthew McConaughey Tom Taylor Dennis Haysbert,en,unknown,Action Adventure Fantasy Idris Elba Matthew McConaughey Tom Taylor Dennis HaysbertNikolaj Arcelen
Life,A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.,Horror Science Fiction Thriller ,Daniel Espinosa,Jake Gyllenhaal Rebecca Ferguson Ryan Reynolds Hiroyuki Sanada,en,unknown,Horror Science Fiction Thriller Jake Gyllenhaal Rebecca Ferguson Ryan Reynolds Hiroyuki SanadaDaniel Espinosaen
John Wick: Chapter 2,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",Action Crime Thriller ,Chad Stahelski,Keanu Reeves Riccardo Scamarcio Ian McShane Ruby Rose,en,unknown,Action Crime Thriller Keanu Reeves Riccardo Scamarcio Ian McShane Ruby RoseChad Stahelskien
"I, Tonya","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",Biography Comedy Drama ,Craig Gillespie,Margot Robbie Sebastian Stan Allison Janney Julianne Nicholson,en,unknown,Biography Comedy Drama Margot Robbie Sebastian Stan Allison Janney Julianne NicholsonCraig Gillespieen
Fifty Shades Darker,"While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",Drama Romance ,James Foley,Dakota Johnson Jamie Dornan Eric Johnson Eloise Mumford,en,unknown,Drama Romance Dakota Johnson Jamie Dornan Eric Johnson Eloise MumfordJames Foleyen
Wind River,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,Crime Drama Mystery ,Taylor Sheridan,Kelsey Asbille Jeremy Renner Julia Jones Teo Briones,en,unknown,Crime Drama Mystery Kelsey Asbille Jeremy Renner Julia Jones Teo BrionesTaylor Sheridanen
