title,overview,genre_list,crew_list,cast_list,original_language,comp_list,comb
Midnight Sun,A 17-year-old girl suffers from a condition that prevents her from being out in the sunlight.,Crime Drama Thriller ,Scott Speer,Bella Thorne Patrick Schwarzenegger Rob Riggle Quinn Shephard,en,unknown,Crime Drama Thriller Bella Thorne Patrick Schwarzenegger Rob Riggle Quinn ShephardScott Speeren
Dumplin',"Willowdean ('Dumplin'), the plus-size teenage daughter of a former beauty queen, signs up for her mom's Miss Teen Bluebonnet pageant as a protest that escalates when other contestants follow her footsteps, revolutionizing the pageant and their small Texas town.",Action Comedy Crime ,Anne Fletcher,Danielle Macdonald Jennifer Aniston Odeya Rush Maddie Baillio,en,unknown,Action Comedy Crime Danielle Macdonald Jennifer Aniston Odeya Rush Maddie BaillioAnne Fletcheren
Little Italy,"A young couple must navigate a blossoming romance, amidst a war between their families' competing pizza restaurants.",Action Biography Comedy ,Donald Petrie,Emma Roberts Hayden Christensen Danny Aiello Andrea Martin,en,unknown,Action Biography Comedy Emma Roberts Hayden Christensen Danny Aiello Andrea MartinDonald Petrieen
Insidious: The Last Key,"Parapsychologist Dr. Elise Rainier faces her most fearsome and personal haunting yet, as she is drawn back to her ghostly childhood home, where the terror began.",Horror Mystery Thriller ,Adam Robitel,Lin Shaye Leigh Whannell Angus Sampson Kirk Acevedo,en,unknown,Horror Mystery Thriller Lin Shaye Leigh Whannell Angus Sampson Kirk AcevedoAdam Robitelen
London Fields,Clairvoyant femme fatale Nicola Six has been living with a dark premonition of her impending death by murder. She begins a tangled love affair with three uniquely different men: one of whom she knows will be her murderer.,Drama Horror Mystery ,Mathew Cullen,Amber Heard Cara Delevingne Theo James Jason Isaacs,en,unknown,Drama Horror Mystery Amber Heard Cara Delevingne Theo James Jason IsaacsMathew Cullenen
Terminal,"A film noir taking place in a train terminal at night. Add 2 male assassins, female assassin, waitress, teacher, janitor and crime boss. Add revenge. Who says mystery is a lost art?",Horror Mystery ,Vaughn Stein,Margot Robbie Simon Pegg Dexter Fletcher Mike Myers,en,unknown,Horror Mystery Margot Robbie Simon Pegg Dexter Fletcher Mike MyersVaughn Steinen
Welcome Home,"A couple spend a weekend at a vacation rental home in the Italian countryside in an attempt to repair their relationship, but soon become victims of the homeowner's sinister plans.",Animation Adventure Comedy ,George Ratliff,Emily Ratajkowski Aaron Paul Riccardo Scamarcio Katy Louise Saunders,en,unknown,Animation Adventure Comedy Emily Ratajkowski Aaron Paul Riccardo Scamarcio Katy Louise SaundersGeorge Ratliffen
Her Smell,A self-destructive punk rocker struggles with sobriety while trying to recapture the creative inspiration that led her band to success.,Action Adventure Drama ,Alex Ross Perry,Elisabeth Moss Cara Delevingne Dan Stevens Agyness Deyn,en,unknown,Action Adventure Drama Elisabeth Moss Cara Delevingne Dan Stevens Agyness DeynAlex Ross Perryen
Galveston,"After escaping a set up, a dying hitman returns to his hometown of Galveston where he plans his revenge.",Animation Adventure Comedy ,Mélanie Laurent,Ben Foster Jeffrey Grover Christopher Amitrano Mark Hicks,en,unknown,Animation Adventure Comedy Ben Foster Jeffrey Grover Christopher Amitrano Mark HicksMélanie Laurenten
A Million Little Pieces,A drug dependent young man faces his past and his inner demons after he is interned in an institution for addicted.,Drama Fantasy Romance ,Sam Taylor-Johnson,Aaron Taylor-Johnson Billy Bob Thornton Odessa Young Giovanni Ribisi,en,unknown,Drama Fantasy Romance Aaron Taylor-Johnson Billy Bob Thornton Odessa Young Giovanni RibisiSam Taylor-Johnsonen
We Have Always Lived in the Castle,"Merricat, Constance and their Uncle Julian live in isolation after experiencing a family tragedy six years earlier. When cousin Charles arrives to steal the family fortune, he also threatens a dark secret they've been hiding.",Animation Adventure Comedy ,Stacie Passon,Taissa Farmiga Alexandra Daddario Crispin Glover Sebastian Stan,en,unknown,Animation Adventure Comedy Taissa Farmiga Alexandra Daddario Crispin Glover Sebastian StanStacie Passonen
Then Came You,A hypochondriac working as an airport baggage handler is forced to confront his fears when a British teenager with a terminal illness enlists him to help her carry out her eccentric bucket list.,Action Adventure Drama ,Peter Hutchings,Asa Butterfield Maisie Williams Nina Dobrev Ken Jeong,en,unknown,Action Adventure Drama Asa Butterfield Maisie Williams Nina Dobrev Ken JeongPeter Hutchingsen
The Miseducation of Cameron Post,"In 1993, a teenage girl is forced into a gay conversion therapy center by her conservative guardians.",Crime Drama Mystery ,Desiree Akhavan,Chloë Grace Moretz Steven Hauck Quinn Shephard Kerry Butler,en,unknown,Crime Drama Mystery Chloë Grace Moretz Steven Hauck Quinn Shephard Kerry ButlerDesiree Akhavanen
American Animals,Four young men mistake their lives for a movie and attempt one of the most audacious heists in U.S. history.,Action Drama Mystery ,Bart Layton,Spencer Reinhard Warren Lipka Eric Borsuk Chas Allen,en,unknown,Action Drama Mystery Spencer Reinhard Warren Lipka Eric Borsuk Chas AllenBart Laytonen
Mary Magdalene,Twelve men heard and spread the message of Jesus. Only one woman understood it.,Crime Horror Mystery ,Garth Davis,Rooney Mara Joaquin Phoenix Chiwetel Ejiofor Tahar Rahim,en,unknown,Crime Horror Mystery Rooney Mara Joaquin Phoenix Chiwetel Ejiofor Tahar RahimGarth Davisen
Down a Dark Hall,"A troubled teen named Kit Gordy is forced to join the exclusive Blackwood Boarding School, just to find herself trapped by dark forces around its mysterious headmistress, Madame Duret.",Action Biography Thriller ,Rodrigo Cortés,AnnaSophia Robb Uma Thurman Isabelle Fuhrman Victoria Moroles,en,unknown,Action Biography Thriller AnnaSophia Robb Uma Thurman Isabelle Fuhrman Victoria MorolesRodrigo Cortésen
Banana Split,"Over the course of a summer, two teenage girls develop the perfect kindred spirit friendship, with one big problem: one of them is dating the other's ex.",Action Adventure Thriller ,Benjamin Kasulke,Hannah Marks Liana Liberato Dylan Sprouse Luke Spencer Roberts,en,unknown,Action Adventure Thriller Hannah Marks Liana Liberato Dylan Sprouse Luke Spencer RobertsBenjamin Kasulkeen
The Darkest Minds,"Imprisoned by an adult world that now fears everyone under 18, a group of teens form a resistance group to fight back and reclaim control of their future.",Animation Action Comedy ,Jennifer Yuh Nelson,Amandla Stenberg Mandy Moore Bradley Whitford Harris Dickinson,en,unknown,Animation Action Comedy Amandla Stenberg Mandy Moore Bradley Whitford Harris DickinsonJennifer Yuh Nelsonen
Charlie Says,The tragic tale of an all-American girl who was transformed into a cold-blooded killer in the summer of 1969.,Drama Science Fiction ,Mary Harron,Hannah Murray Matt Smith Sosie Bacon Marianne Rendón,en,unknown,Drama Science Fiction Hannah Murray Matt Smith Sosie Bacon Marianne RendónMary Harronen
The Tale,A woman filming a documentary on childhood rape victims starts to question the nature of her childhood relationship with her riding instructor and running coach.,Comedy ,Jennifer Fox,Laura Dern Jason Ritter Common Elizabeth Debicki,en,unknown,Comedy Laura Dern Jason Ritter Common Elizabeth DebickiJennifer Foxen
Second Act,A big box store worker reinvents her life and her life-story and shows Madison Avenue what street smarts can do.,Animation Adventure Comedy ,Peter Segal,Jennifer Lopez Vanessa Hudgens Leah Remini Treat Williams,en,unknown,Animation Adventure Comedy Jennifer Lopez Vanessa Hudgens Leah Remini Treat WilliamsPeter Segalen
The Little Mermaid,A young reporter and his niece discover a beautiful and enchanting creature they believe to be the real little mermaid.,Action Horror Thriller ,Blake Harris,Chris Bouchard William Moseley Poppy Drayton Loreto Peralta Armando Gutierrez,en,unknown,Action Horror Thriller Chris Bouchard William Moseley Poppy Drayton Loreto Peralta Armando GutierrezBlake Harrisen
Vita & Virginia,It's the fascinating true story about the love affair between socialite and popular author Vita Sackville-West and literary icon Virginia Woolf.,Drama Mystery Science Fiction ,Chanya Button,Gemma Arterton Elizabeth Debicki Isabella Rossellini Rupert Penry-Jones,en,unknown,Drama Mystery Science Fiction Gemma Arterton Elizabeth Debicki Isabella Rossellini Rupert Penry-JonesChanya Buttonen
Summer '03,A 16-year-old girl and her extended family are left reeling after her calculating grandmother unveils an array of secrets on her deathbed.,Drama Romance Science Fiction ,Becca Gleason,Joey King Paul Scheer Andrea Savage Jack Kilmer,en,unknown,Drama Romance Science Fiction Joey King Paul Scheer Andrea Savage Jack KilmerBecca Gleasonen
Breaking In,A woman fights to protect her family during a home invasion.,Adventure Comedy Family ,James McTeigue,Gabrielle Union Billy Burke Richard Cabral Ajiona Alexus,en,unknown,Adventure Comedy Family Gabrielle Union Billy Burke Richard Cabral Ajiona AlexusJames McTeigueen
Monster Party,Three young thieves infiltrate a Malibu dinner party.,Comedy Drama ,Chris von Hoffmann,Sam Strike Virginia Gardner Brandon Micheal Hall Kian Lawley,en,unknown,Comedy Drama Sam Strike Virginia Gardner Brandon Micheal Hall Kian LawleyChris von Hoffmannen
Lizzie,A psychological thriller based on the infamous 1892 murders of Lizzie Andrew Borden's family.,Action Comedy Crime ,Craig William Macneill,Chloë Sevigny Kristen Stewart Jeff Perry Fiona Shaw,en,unknown,Action Comedy Crime Chloë Sevigny Kristen Stewart Jeff Perry Fiona ShawCraig William Macneillen
Spinning Man,"A happily married professor, known for having many affairs with students, becomes the prime suspect when a young woman has gone missing.",Adventure Drama Horror ,Simon Kaijser,Guy Pearce Pierce Brosnan Minnie Driver Alexandra Shipp,en,unknown,Adventure Drama Horror Guy Pearce Pierce Brosnan Minnie Driver Alexandra ShippSimon Kaijseren
Every Day,A shy teenager falls for a spirit who wakes up in the body of a different person every morning.,Comedy Crime Thriller ,Michael Sucsy,Angourie Rice Justice Smith Debby Ryan Jeni Ross,en,unknown,Comedy Crime Thriller Angourie Rice Justice Smith Debby Ryan Jeni RossMichael Sucsyen
Sierra Burgess Is a Loser,A case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.,Biography Drama Music ,Ian Samuels,Shannon Purser Kristine Froseth RJ Cyler Noah Centineo,en,unknown,Biography Drama Music Shannon Purser Kristine Froseth RJ Cyler Noah CentineoIan Samuelsen
I Think We're Alone Now,The apocalypse proves a blessing in disguise for one lucky recluse -- until a second survivor arrives with the threat of companionship.,Adventure Comedy Drama ,Reed Morano,Peter Dinklage Elle Fanning Charlotte Gainsbourg Paul Giamatti,en,unknown,Adventure Comedy Drama Peter Dinklage Elle Fanning Charlotte Gainsbourg Paul GiamattiReed Moranoen
The Neighbor,A middle-aged man in a stagnant marriage finds his life upended when an attractive young woman and her seemingly abusive husband move in next door.,Action Comedy ,Aaron Harvey,William Fichtner Jessica McNamee Jean Louisa Kelly Michael Rosenbaum,en,unknown,Action Comedy William Fichtner Jessica McNamee Jean Louisa Kelly Michael RosenbaumAaron Harveyen
I Still See You,Set ten years after an apocalyptic event that killed millions and left the world inhabited by ghosts.,Animation Adventure Comedy ,Scott Speer,Bella Thorne Richard Harmon Dermot Mulroney Amy Price-Francis,en,unknown,Animation Adventure Comedy Bella Thorne Richard Harmon Dermot Mulroney Amy Price-FrancisScott Speeren
Support the Girls,"The general manager at a highway-side ''sports bar with curves"" has her incurable optimism and faith, in her girls, her customers, and herself, tested over the course of a long, strange day.",Comedy ,Andrew Bujalski,Regina Hall Haley Lu Richardson Dylan Gelula Zoe Graham,en,unknown,Comedy Regina Hall Haley Lu Richardson Dylan Gelula Zoe GrahamAndrew Bujalskien
Hearts Beat Loud,A father and daughter form an unlikely songwriting duo in the summer before she leaves for college.,Drama Romance Science Fiction ,Brett Haley,Nick Offerman Kiersey Clemons Blythe Danner Toni Collette,en,unknown,Drama Romance Science Fiction Nick Offerman Kiersey Clemons Blythe Danner Toni ColletteBrett Haleyen
Dude,A group of teenage girlfriends deal with their impending graduation from high school.,Comedy Crime ,Olivia Milch,Lucy Hale Kathryn Prescott Alexandra Shipp Awkwafina,en,unknown,Comedy Crime Lucy Hale Kathryn Prescott Alexandra Shipp AwkwafinaOlivia Milchen
Where Hands Touch,A rites of passage story of a bi-racial teen struggling for survival in Nazi Germany.,Biography Drama ,Amma Asante,Abbie Cornish George MacKay Christopher Eccleston Amandla Stenberg,en,unknown,Biography Drama Abbie Cornish George MacKay Christopher Eccleston Amandla StenbergAmma Asanteen
Teen Spirit,"Violet is a shy teenager who dreams of escaping her small town and pursuing her passion to sing. With the help of an unlikely mentor, she enters a local singing competition that will test her integrity, talent and ambition. Driven by a pop-fueled soundtrack, Teen Spirit is a visceral and stylish spin on the Cinderella story.",Drama Fantasy Thriller ,Max Minghella,Elle Fanning Agnieszka Grochowska Archie Madekwe Zlatko Buric,en,unknown,Drama Fantasy Thriller Elle Fanning Agnieszka Grochowska Archie Madekwe Zlatko BuricMax Minghellaen
The Kindergarten Teacher,A kindergarten teacher in New York becomes obsessed with one of her students whom she believes is a child prodigy.,Drama Thriller ,Sara Colangelo,Maggie Gyllenhaal Gael García Bernal Ato Blankson-Wood Libya Pugh,en,unknown,Drama Thriller Maggie Gyllenhaal Gael García Bernal Ato Blankson-Wood Libya PughSara Colangeloen
The Honor List,A story of four friends and a bucket list.,Action Adventure Comedy ,Elissa Down,Meghan Rienks Sasha Pieterse Karrueche Tran Arden Cho,en,unknown,Action Adventure Comedy Meghan Rienks Sasha Pieterse Karrueche Tran Arden ChoElissa Downen
Back Roads,"In 1993, Harley's dad is shot dead and his mom goes to prison. He has to earn money and look after his 3 kid sisters. No college. Over 2 years, family secrets are slowly revealed. Will a good therapist be enough?",Animation Action Adventure ,Alex Pettyfer,Jennifer Morrison Juliette Lewis Nicola Peltz Robert Patrick,en,unknown,Animation Action Adventure Jennifer Morrison Juliette Lewis Nicola Peltz Robert PatrickAlex Pettyferen
Office Uprising,An employee at a weapons factory discovers that an energy drink turns his co-workers into zombies,Comedy Drama War ,Lin Oeding,Brenton Thwaites Jane Levy Karan Soni Zachary Levi,en,unknown,Comedy Drama War Brenton Thwaites Jane Levy Karan Soni Zachary LeviLin Oedingen
Jonathan,"Jonathan leaves the office every day at noon. When he gets home, he goes to sleep. Every morning he wakes up and there is a breakfast prepared for him along with a video telling him about the second part of his day.",Drama Horror Mystery ,Bill Oliver,Ansel Elgort Suki Waterhouse Patricia Clarkson Matt Bomer,en,unknown,Drama Horror Mystery Ansel Elgort Suki Waterhouse Patricia Clarkson Matt BomerBill Oliveren
Proud Mary,"Mary (Taraji P. Henson) is a hit woman working for an organized crime family in Boston, whose life is completely turned around when she meets a young boy whose path she crosses when a professional hit goes bad.",Comedy ,Babak Najafi,Taraji P. Henson Billy Brown Jahi Di'Allo Winston Neal McDonough,en,unknown,Comedy Taraji P. Henson Billy Brown Jahi Di'Allo Winston Neal McDonoughBabak Najafien
The Strange Ones,"Mysterious events surround two travelers as they make their way across a remote American landscape. On the surface all seems normal, but what appears to be a simple vacation soon gives way to a dark and complex web of secrets.",Biography Drama War ,Christopher Radcliff,Lauren Wolkstein Alex Pettyfer James Freedson-Jackson Emily Althaus Gene Jones,en,unknown,Biography Drama War Lauren Wolkstein Alex Pettyfer James Freedson-Jackson Emily Althaus Gene JonesChristopher Radcliffen
Jeremiah Terminator LeRoy,"A young woman named Savannah Knoop spends six years pretending to be the celebrated author JT LeRoy, the made-up literary persona of her sister-in-law.",Comedy Drama ,Justin Kelly,Kristen Stewart Laura Dern Jim Sturgess Diane Kruger,en,unknown,Comedy Drama Kristen Stewart Laura Dern Jim Sturgess Diane KrugerJustin Kellyen
Cruise,"Set in the 1980s, a young Italian-American from the ""wrong side of the tracks"" falls for a Jewish girl from Long Island.",Crime Drama Thriller ,Robert Siegel,Spencer Boldman Emily Ratajkowski Lucas Salvagno Noah Robbins,en,unknown,Crime Drama Thriller Spencer Boldman Emily Ratajkowski Lucas Salvagno Noah RobbinsRobert Siegelen
Ride,A cautionary tale aimed at a technology-obsessed society.,Drama Mystery Science Fiction ,Jeremy Ungar,Bella Thorne Jessie T. Usher Will Brill Byron L. Hopkins,en,unknown,Drama Mystery Science Fiction Bella Thorne Jessie T. Usher Will Brill Byron L. HopkinsJeremy Ungaren
The Pretenders,"A love triangle involving a photographer, a director and an actress.",Crime Horror Mystery ,James Franco,Juno Temple James Franco Dennis Quaid Brian Cox,en,unknown,Crime Horror Mystery Juno Temple James Franco Dennis Quaid Brian CoxJames Francoen
The New Romantic,"Frustrated with the lack of chivalrous guys her own age, a college senior gives up on dating for love to date an older man in exchange for gifts instead.",Crime Drama Mystery ,Carly Stone,Jessica Barden Hayley Law Brett Dier Camila Mendes,en,unknown,Crime Drama Mystery Jessica Barden Hayley Law Brett Dier Camila MendesCarly Stoneen
Knives Out,"A detective investigates the death of a patriarch of an eccentric, combative family.",Action Adventure Comedy ,Rian Johnson,Daniel Craig Chris Evans Ana de Armas Jamie Lee Curtis,en,unknown,Action Adventure Comedy Daniel Craig Chris Evans Ana de Armas Jamie Lee CurtisRian Johnsonen
Joker,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Action Drama Mystery ,Todd Phillips,Joaquin Phoenix Robert De Niro Zazie Beetz Frances Conroy,en,unknown,Action Drama Mystery Joaquin Phoenix Robert De Niro Zazie Beetz Frances ConroyTodd Phillipsen
Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Action Drama History ,Anthony Russo,Joe Russo Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth,en,unknown,Action Drama History Joe Russo Robert Downey Jr. Chris Evans Mark Ruffalo Chris HemsworthAnthony Russoen
Ford v Ferrari,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,Action Adventure Comedy ,James Mangold,Matt Damon Christian Bale Jon Bernthal Caitriona Balfe,en,unknown,Action Adventure Comedy Matt Damon Christian Bale Jon Bernthal Caitriona BalfeJames Mangolden
Once Upon a Time... in Hollywood,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,Horror ,Quentin Tarantino,Leonardo DiCaprio Brad Pitt Margot Robbie Emile Hirsch,en,unknown,Horror Leonardo DiCaprio Brad Pitt Margot Robbie Emile HirschQuentin Tarantinoen
Jojo Rabbit,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,Family Fantasy Musical ,Taika Waititi,Roman Griffin Davis Thomasin McKenzie Scarlett Johansson Taika Waititi,en,unknown,Family Fantasy Musical Roman Griffin Davis Thomasin McKenzie Scarlett Johansson Taika WaititiTaika Waititien
The Gentlemen,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",Action Adventure Fantasy ,Guy Ritchie,Matthew McConaughey Charlie Hunnam Michelle Dockery Jeremy Strong,en,unknown,Action Adventure Fantasy Matthew McConaughey Charlie Hunnam Michelle Dockery Jeremy StrongGuy Ritchieen
Bombshell,A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.,Horror Mystery Thriller ,Jay Roach,Charlize Theron Nicole Kidman Margot Robbie John Lithgow,en,unknown,Horror Mystery Thriller Charlize Theron Nicole Kidman Margot Robbie John LithgowJay Roachen
Doctor Sleep,"Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",Action Adventure Comedy ,Mike Flanagan,Ewan McGregor Rebecca Ferguson Kyliegh Curran Cliff Curtis,en,unknown,Action Adventure Comedy Ewan McGregor Rebecca Ferguson Kyliegh Curran Cliff CurtisMike Flanaganen
1917,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Crime Drama Thriller ,Sam Mendes,Dean-Charles Chapman George MacKay Daniel Mays Colin Firth,en,unknown,Crime Drama Thriller Dean-Charles Chapman George MacKay Daniel Mays Colin FirthSam Mendesen
Terminator: Dark Fate,"An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race.",Action Adventure Science Fiction ,Tim Miller,Linda Hamilton Arnold Schwarzenegger Mackenzie Davis Natalia Reyes,en,unknown,Action Adventure Science Fiction Linda Hamilton Arnold Schwarzenegger Mackenzie Davis Natalia ReyesTim Milleren
Ready or Not,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,Action Adventure Comedy ,Matt Bettinelli-Olpin,Tyler Gillett Samara Weaving Adam Brody Mark O'Brien Henry Czerny,en,unknown,Action Adventure Comedy Tyler Gillett Samara Weaving Adam Brody Mark O'Brien Henry CzernyMatt Bettinelli-Olpinen
Jumanji: The Next Level,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.",Biography Crime Drama ,Jake Kasdan,Dwayne Johnson Jack Black Kevin Hart Karen Gillan,en,unknown,Biography Crime Drama Dwayne Johnson Jack Black Kevin Hart Karen GillanJake Kasdanen
Star Wars: Episode IX - The Rise of Skywalker,"The surviving members of the resistance face the First Order once again, and the legendary conflict between the Jedi and the Sith reaches its peak bringing the Skywalker saga to its end.",Action Crime Music ,J.J. Abrams,Daisy Ridley John Boyega Oscar Isaac Adam Driver,en,unknown,Action Crime Music Daisy Ridley John Boyega Oscar Isaac Adam DriverJ.J. Abramsen
Midway,"The story of the Battle of Midway, told by the leaders and the sailors who fought it.",Action Adventure Biography ,Roland Emmerich,Ed Skrein Patrick Wilson Woody Harrelson Luke Evans,en,unknown,Action Adventure Biography Ed Skrein Patrick Wilson Woody Harrelson Luke EvansRoland Emmerichen
The Lion King,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",Action Adventure Fantasy ,Jon Favreau,Donald Glover Beyoncé Seth Rogen Chiwetel Ejiofor,en,unknown,Action Adventure Fantasy Donald Glover Beyoncé Seth Rogen Chiwetel EjioforJon Favreauen
Charlie's Angels,"When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.",Comedy Crime Drama ,Elizabeth Banks,Kristen Stewart Naomi Scott Ella Balinska Elizabeth Banks,en,unknown,Comedy Crime Drama Kristen Stewart Naomi Scott Ella Balinska Elizabeth BanksElizabeth Banksen
The Irishman,"An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s.",Action Drama Science Fiction ,Martin Scorsese,Robert De Niro Al Pacino Joe Pesci Harvey Keitel,en,unknown,Action Drama Science Fiction Robert De Niro Al Pacino Joe Pesci Harvey KeitelMartin Scorseseen
Aladdin,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Action Adventure Fantasy ,Guy Ritchie,Will Smith Mena Massoud Naomi Scott Marwan Kenzari,en,unknown,Action Adventure Fantasy Will Smith Mena Massoud Naomi Scott Marwan KenzariGuy Ritchieen
It Chapter Two,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",Action Adventure Fantasy ,Andy Muschietti,Jessica Chastain James McAvoy Bill Hader Isaiah Mustafa,en,unknown,Action Adventure Fantasy Jessica Chastain James McAvoy Bill Hader Isaiah MustafaAndy Muschiettien
Captain Marvel,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,Horror Science Fiction Thriller ,Anna Boden,Ryan Fleck Brie Larson Samuel L. Jackson Ben Mendelsohn Jude Law,en,unknown,Horror Science Fiction Thriller Ryan Fleck Brie Larson Samuel L. Jackson Ben Mendelsohn Jude LawAnna Bodenen
Alita: Battle Angel,"A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is.",Animation Adventure Family ,Robert Rodriguez,Rosa Salazar Christoph Waltz Jennifer Connelly Mahershala Ali,en,unknown,Animation Adventure Family Rosa Salazar Christoph Waltz Jennifer Connelly Mahershala AliRobert Rodriguezen
Spider-Man: Far from Home,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",Biography Crime Drama ,Jon Watts,Tom Holland Samuel L. Jackson Jake Gyllenhaal Marisa Tomei,en,unknown,Biography Crime Drama Tom Holland Samuel L. Jackson Jake Gyllenhaal Marisa TomeiJon Wattsen
Frozen II,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",Action Comedy Crime ,Chris Buck,Jennifer Lee Kristen Bell Idina Menzel Josh Gad Jonathan Groff,en,unknown,Action Comedy Crime Jennifer Lee Kristen Bell Idina Menzel Josh Gad Jonathan GroffChris Bucken
Ad Astra,"Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.",Biography Crime Drama ,James Gray,Brad Pitt Tommy Lee Jones Ruth Negga Donald Sutherland,en,unknown,Biography Crime Drama Brad Pitt Tommy Lee Jones Ruth Negga Donald SutherlandJames Grayen
The Platform,A vertical prison with one cell per level. Two people per cell. One only food platform and two minutes per day to feed from up to down. An endless nightmare trapped in The Hole.,Action Adventure Fantasy ,Galder Gaztelu-Urrutia,Ivan Massagué Zorion Eguileor Antonia San Juan Emilio Buale,en,unknown,Action Adventure Fantasy Ivan Massagué Zorion Eguileor Antonia San Juan Emilio BualeGalder Gaztelu-Urrutiaen
6 Underground,"Meet a new kind of action hero. Six untraceable agents, totally off the grid. They've buried their pasts so they can change the future.",Comedy Music ,Michael Bay,Ryan Reynolds Mélanie Laurent Manuel Garcia-Rulfo Ben Hardy,en,unknown,Comedy Music Ryan Reynolds Mélanie Laurent Manuel Garcia-Rulfo Ben HardyMichael Bayen
Us,A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,Drama Horror Mystery ,Jordan Peele,Lupita Nyong'o Winston Duke Elisabeth Moss Tim Heidecker,en,unknown,Drama Horror Mystery Lupita Nyong'o Winston Duke Elisabeth Moss Tim HeideckerJordan Peeleen
Gemini Man,An over-the-hill hitman faces off against a younger clone of himself.,Action Adventure Fantasy ,Ang Lee,Will Smith Mary Elizabeth Winstead Clive Owen Benedict Wong,en,unknown,Action Adventure Fantasy Will Smith Mary Elizabeth Winstead Clive Owen Benedict WongAng Leeen
X-Men: Dark Phoenix,"Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity.",Action Adventure Crime ,Simon Kinberg,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult,en,unknown,Action Adventure Crime James McAvoy Michael Fassbender Jennifer Lawrence Nicholas HoultSimon Kinbergen
Fast & Furious Presents: Hobbs & Shaw,"Lawman Luke Hobbs (Dwayne ""The Rock"" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.",Action Adventure Fantasy ,David Leitch,Dwayne Johnson Jason Statham Idris Elba Vanessa Kirby,en,unknown,Action Adventure Fantasy Dwayne Johnson Jason Statham Idris Elba Vanessa KirbyDavid Leitchen
Zombieland: Double Tap,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",Action Adventure Science Fiction ,Ruben Fleischer,Woody Harrelson Jesse Eisenberg Emma Stone Abigail Breslin,en,unknown,Action Adventure Science Fiction Woody Harrelson Jesse Eisenberg Emma Stone Abigail BreslinRuben Fleischeren
Toy Story 4,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",Action Adventure Fantasy ,Josh Cooley,Tom Hanks Tim Allen Annie Potts Tony Hale,en,unknown,Action Adventure Fantasy Tom Hanks Tim Allen Annie Potts Tony HaleJosh Cooleyen
